"String ID","Source text","Translation","Context","Path","Filename"
"211","Trainer-Modus ein","Trainer-Modus ein","","","trnon.wav"
"212","Trainer-Modus aus","Trainer-Modus aus","","","trnoff.wav"
"213","Motor aus","Motor aus","","","engoff.wav"
"214","Motor an","Motor an","","","engon.wav"
"215","zu hoch","zu hoch","","","tohigh.wav"
"216","zu niedrig","zu niedrig","","","tolow.wav"
"217","Batterie schwach","Batterie schwach","","","lowbat.wav"
"218","Butterfly ein","Butterfly ein","","","crowon.wav"
"219","Butterfly aus","Butterfly aus","","","crowof.wav"
"220","Geschwindigkeits-Modus","Geschwindigkeits-Modus","","","fm-spd.wav"
"221","Thermik-Modus","Thermik-Modus","","","fm-thm.wav"
"222","Normal-Modus","Normal-Modus","","","fm-nrm.wav"
"233","Akro-Modus","Akro-Modus","","","acro.wav"
"224","flight mode 1","Flugmodus 1","","","fm-1.wav"
"225","flight mode 2","Flugmodus 2","","","fm-2.wav"
"226","flight mode 3","Flugmodus 3","","","fm-3.wav"
"227","flight mode 4","Flugmodus 4","","","fm-4.wav"
"228","flight mode 5","Flugmodus 5","","","fm-5.wav"
"229","flight mode 6","Flugmodus 6","","","fm-6.wav"
"230","flight mode 7","Flugmodus 7","","","fm-7.wav"
"231","flight mode 8","Flugmodus 8","","","fm-8.wav"
"232","flight mode 9","Flugmodus 9","","","fm-9.wav"
"233","Autorotation","Autorotation","heli","","auro.wav"
