"String ID","Source text","Translation","Context","Path","Filename"
"150","Transition done","transición completada","Msg-Hash","YAAPU","986165592.wav"
"151","Transition started","transición iniciada","Msg-Hash","YAAPU","1249672288.wav"
"152","Transition done","transición completada","Msg-Hash","YAAPU","4019153925.wav"
"153","Transition VTOL done","transición VTOL completada","Msg-Hash","YAAPU","3417557720.wav"
"154","Land descend started","descenso de aterrizaje iniciado","Msg-Hash","YAAPU","1204090832.wav"
"155","Land final started","aproximación final iniciada","Msg-Hash","YAAPU","2890289840.wav"
"156","Soaring: Outside max radius","Soaring: fuera del radio máximo","Msg-Hash","YAAPU","1883944664.wav"
"157","Soaring: Disabled.","Soaring: desactivado","Msg-Hash","YAAPU","4175833240.wav"
"158","Soaring: not climbing","Soaring: no está ascendiendo","Msg-Hash","YAAPU","2599859119.wav"
"159","Soaring: drifted too far","Soaring: se alejó demasiado","Msg-Hash","YAAPU","636067590.wav"
"160","Soaring: Too high","Soaring: demasiado alto","Msg-Hash","YAAPU","2730864352.wav"
"161","Soaring: Too low","Soaring: demasiado bajo","Msg-Hash","YAAPU","1698465616.wav"
"162","Soaring: Thermal ended","Soaring: térmica finalizada","Msg-Hash","YAAPU","981284144.wav"
"163","Soaring: Drifted too far","Soaring: se alejó demasiado","Msg-Hash","YAAPU","2913564252.wav"
"164","Soaring: Exit via RC switch","Soaring: salida por interruptor RC","Msg-Hash","YAAPU","1746499976.wav"
"165","Soaring: Enabled.","Soaring: activado","Msg-Hash","YAAPU","883458048.wav"
"166","Soaring: thermal weak","Soaring: térmica débil","Msg-Hash","YAAPU","2139150204.wav"
"167","Soaring: reached upper altitude","Soaring: alcanzada altitud máxima","Msg-Hash","YAAPU","1352994600.wav"
"168","Soaring: reached lower altitude","Soaring: alcanzada altitud mínima","Msg-Hash","YAAPU","4026147344.wav"
"169","reached command:","comando alcanzado:","Msg-Hash","YAAPU","4091124880.wav"
"170","reached waypoint:","waypoint alcanzado:","Msg-Hash","YAAPU","3311875476.wav"
"171","Passed waypoint:","waypoint sobrepasado:","Msg-Hash","YAAPU","1997782032.wav"
"172","Takeoff complete","despegue completado","Msg-Hash","YAAPU","554623408.wav"
"173","Smart RTL deactivated","Smart RTL desactivado","Msg-Hash","YAAPU","3025044912.wav"
"174","GPS home acquired","home GPS adquirido","Msg-Hash","YAAPU","3956583920.wav"
"175","GPS home acquired","home GPS adquirido","Msg-Hash","YAAPU","1309405592.wav"
"176","Auto Tune","Auto Tune","","INAV","autotn.wav"
"177","Auto Level Trim","auto nivelado de trim","","INAV","autolm.wav"
"178","Soaring","Soaring","","INAV","soarng.wav"
"179","Beeper","zumbador","","INAV","beeper.wav"
